sensor_id,tipo_elem,osm_node,snap_dist_m,lat_sensor,lon_sensor,lat_nodo,lon_nodo,calidad
5573,URB,98999479,37.4,40.455805,-3.681644,40.455574,-3.681965,bueno
5574,URB,98999484,5.1,40.457764,-3.68163,40.457719,-3.681615,bueno
5575,URB,98963432,25.5,40.458676,-3.680831,40.458656,-3.680531,bueno
5576,URB,102385784,12.4,40.458589,-3.683395,40.458599,-3.683541,bueno
5577,URB,119794654,18.1,40.456702,-3.680178,40.456744,-3.679971,bueno
5578,URB,119797319,6.9,40.456474,-3.680793,40.456474,-3.680711,bueno
5579,URB,1672792326,40.7,40.456939,-3.679103,40.456965,-3.678623,bueno
5580,URB,119794656,19.6,40.456115,-3.679728,40.455947,-3.679661,bueno
5581,URB,98963433,37.9,40.458524,-3.681504,40.458627,-3.681931,bueno
5582,URB,320706075,55.0,40.458684,-3.678413,40.458567,-3.677783,aceptable
5583,URB,98964423,84.4,40.457786,-3.680277,40.45853,-3.680479,aceptable
5585,URB,98965348,34.9,40.458351,-3.671103,40.458382,-3.671514,bueno
5586,URB,320596960,56.4,40.460174,-3.667341,40.459736,-3.667676,aceptable
5587,URB,98970998,33.6,40.458753,-3.669711,40.45871,-3.670104,bueno
5588,URB,119808876,15.7,40.457759,-3.671997,40.457618,-3.67199,bueno
5589,URB,102505416,25.0,40.459881,-3.669393,40.460008,-3.669637,bueno
5590,URB,119813618,0.1,40.45812,-3.667026,40.458121,-3.667027,bueno
5591,URB,1775159830,16.6,40.459729,-3.666276,40.459683,-3.666463,bueno
5592,URB,102580085,25.4,40.459607,-3.668819,40.459432,-3.668626,bueno
5593,URB,102518637,16.2,40.460195,-3.670551,40.460154,-3.670368,bueno
5594,URB,102519220,93.5,40.460282,-3.672779,40.460211,-3.671678,aceptable
5595,URB,102509276,9.3,40.460332,-3.675243,40.460361,-3.675346,bueno
5596,URB,102519220,93.2,40.460234,-3.672779,40.460211,-3.671678,aceptable
5597,URB,102518637,31.4,40.460155,-3.670738,40.460154,-3.670368,bueno
5598,URB,119830210,10.5,40.456244,-3.671721,40.456153,-3.671689,bueno
5599,URB,119805488,72.1,40.456954,-3.671163,40.456915,-3.672013,aceptable
5600,URB,119807939,20.7,40.457499,-3.674438,40.457683,-3.674399,bueno
5601,URB,102188262,69.2,40.455732,-3.674218,40.455113,-3.67414,aceptable
5602,URB,102188262,84.6,40.455123,-3.67314,40.455113,-3.67414,aceptable
5603,URB,102188262,79.9,40.455139,-3.675084,40.455113,-3.67414,aceptable
